"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"452","Author","Dongyan, Hu","WROTE_A_PAPER_WITH","453","Author","Jhanjhi, N.Z."
"454","Author","Ren, Dongdong","WROTE_A_PAPER_WITH","455","Author","Zhou, Zhangbing"
"456","Author","Dulhare, Uma N.","WROTE_A_PAPER_WITH","457","Author","Srinivas, C."
"458","Author","Belge, Archana","WROTE_A_PAPER_WITH","459","Author","Gupta, Shiwani"
"460","Author","Niu, Xudong","WROTE_A_PAPER_WITH","461","Author","Zhou, Jun"
"462","Author","Chang, Victor","WROTE_A_PAPER_WITH","463","Author","Chiroma, Haruna"
"464","Author","Li, Shaoxi","WROTE_A_PAPER_WITH","465","Author","Liu, Yisai"
"466","Author","Chen, Yue","WROTE_A_PAPER_WITH","467","Author","Hou, Tianwei"
"468","Author","Barnawi, Abdulwasa Bakr","WROTE_A_PAPER_WITH","469","Author","Khan, T.M. Yunus"
"470","Author","Ai, Bo","WROTE_A_PAPER_WITH","471","Author","Wang, Longhe"
"472","Author","Qu, Youyang","WROTE_A_PAPER_WITH","473","Author","Xu, Chenhao"
"474","Author","Duan, Weiguo","WROTE_A_PAPER_WITH","475","Author","Zhao, Ming"
"476","Author","Liu, Jiayan","WROTE_A_PAPER_WITH","477","Author","Zhou, Hongxi"
"478","Author","Latha, S. Bhargavi","WROTE_A_PAPER_WITH","479","Author","Reddy, B. Rama Krishna"
"480","Author","Lai, Chin-Feng","WROTE_A_PAPER_WITH","481","Author","Lu, Junqing"
"482","Author","Chen, Bingcai","WROTE_A_PAPER_WITH","483","Author","Ren, Zhongru"
"484","Author","Kumar, Gowru Bharath","WROTE_A_PAPER_WITH","485","Author","Priyadarsini, Ch. Indira"
"486","Author","Jin, Hangchao","WROTE_A_PAPER_WITH","487","Author","Lee, Boon-Giin"
"488","Author","Kang, Kai","WROTE_A_PAPER_WITH","489","Author","Pei, Xuming"
"490","Author","Pillai, Padmanabhan","WROTE_A_PAPER_WITH","491","Author","Simoens, Pieter"
"492","Author","Anusuya, V.","WROTE_A_PAPER_WITH","493","Author","Bejoy, B.J."
"494","Author","Shen, Xuemin","WROTE_A_PAPER_WITH","495","Author","Zhou, He"
"203","Author","Zhang, Jun","WROTE_A_PAPER_WITH","496","Author","Zhang, Wenqiong"
"497","Author","Li, Jiaqi","WROTE_A_PAPER_WITH","498","Author","Zhang, Honggang"
"499","Author","Kinget, Peter","WROTE_A_PAPER_WITH","500","Author","Kymissis, Ioannis"
